,Type,episode,time_steps,Length,Date,Loss,cost_tot,emis_tot,ener_tot,idis_tot,pdih_tot,pele_tot,pgas_tot,tdis_tot,extrinsic_reward
185,Test,63,1551.099797,7,17-Apr,2.882800817,0.214746428,0.156635699,0.937938318,0,,0.023156681,,210.4932877,-210.7080341
186,Train,64,1575.870847,7,28-Feb,-7.419646263,0.199119173,0.140169865,0.839340508,0,,0.021820664,,25.10374574,-25.30286491
187,Test,64,1575.870847,7,16-Jan,-7.419646263,0.20032857,0.126219784,0.755807092,0,,0.020526118,,198.9784405,-199.178769
188,Test,64,1575.870847,7,17-Apr,-7.419646263,0.179886176,0.131876551,0.789679946,0,,0.024332065,,100.8555257,-101.0354118
189,Train,65,1600.772677,7,28-Feb,0.139547825,0.21381709,0.150700754,0.902399723,0,,0.021610493,,38.34052494,-38.55434203
190,Test,65,1600.772677,7,16-Jan,0.139547825,0.187579893,0.119044956,0.712844048,0,,0.020294406,,192.3259143,-192.5134942
191,Test,65,1600.772677,7,17-Apr,0.139547825,0.189871084,0.137264063,0.8219405,0,,0.023188371,,163.6310408,-163.8209119
192,Train,66,1625.023152,7,28-Feb,-21.57678795,0.215136309,0.150879361,0.903469229,0,,0.021306614,,16.07420985,-16.28934616
193,Test,66,1625.023152,7,16-Jan,-21.57678795,0.209538398,0.13259651,0.793991076,0,,0.020275975,,142.4102351,-142.6197735
194,Test,66,1625.023152,7,17-Apr,-21.57678795,0.177062084,0.129646895,0.776328711,0,,0.024108965,,119.1150428,-119.2921049
195,Train,67,1650.169432,7,28-Feb,16.0311985,0.20313576,0.142467946,0.853101472,0,,0.021961914,,17.97619533,-18.17933109
196,Test,67,1650.169432,7,16-Jan,16.0311985,0.198961421,0.125332454,0.750493739,0,,0.020222205,,202.5361949,-202.7351563
197,Test,67,1650.169432,7,17-Apr,16.0311985,0.183808896,0.134912035,0.807856495,0,,0.02302565,,145.5158064,-145.6996153
198,Train,68,1674.702694,7,28-Feb,-24.85749435,0.194531728,0.136995117,0.820330042,0,,0.021396747,,26.42009193,-26.61462366
